query_name,           units,                        long_name
Var_GHTSKIN,        W m-2 W m-2,                  Variance_of_GHTSKIN
Var_PRECTOTCORR,    kg m-2 s-1 kg m-2 s-1,        Variance_of_PRECTOTCORR
Var_USTAR,          m s-1 m s-1,                  Variance_of_USTAR
Var_EFLUX,          W m-2 W m-2,                  Variance_of_EFLUX
Var_PRECANV,        kg m-2 s-1 kg m-2 s-1,        Variance_of_PRECANV
Var_RHOA,           kg m-3 kg m-3,                Variance_of_RHOA
Var_HFLUX,          W m-2 W m-2,                  Variance_of_HFLUX
Var_NIRDF,          W m-2 W m-2,                  Variance_of_NIRDF
FRCAN,              1,                            areal_fraction_of_anvil_showers
CN,                 1,                            surface_neutral_drag_coefficient
BSTAR,              m s-2,                        surface_bouyancy_scale
QSTAR,              kg kg-1,                      surface_moisture_scale
Var_FRCCN,          1 1,                          Variance_of_FRCCN
PRECANV,            kg m-2 s-1,                   anvil_precipitation
ULML,               m s-1,                        surface_eastward_wind
NIRDR,              W m-2,                        surface_downwelling_nearinfrared_beam_flux
Var_PREVTOT,        kg m-2 s-1 kg m-2 s-1,        Variance_of_PREVTOT
Var_VLML,           m s-1 m s-1,                  Variance_of_VLML
RHOA,               kg m-3,                       air_density_at_surface
TCZPBL,             m,                            transcom_planetary_boundary_layer_height
TLML,               K,                            surface_air_temperature
Var_HLML,           m m,                          Variance_of_HLML
Var_CN,             1 1,                          Variance_of_CN
Var_TAUY,           N m-2 N m-2,                  Variance_of_TAUY
PRECTOT,            kg m-2 s-1,                   total_precipitation
Var_TSTAR,          K K,                          Variance_of_TSTAR
Var_EVAP,           kg m-2 s-1 kg m-2 s-1,        Variance_of_EVAP
Var_Z0H,            m m,                          Variance_of_Z0H
Var_PRECLSC,        kg m-2 s-1 kg m-2 s-1,        Variance_of_PRECLSC
Var_TAUGWX,         N m-2 N m-2,                  Variance_of_TAUGWX
FRCCN,              1,                            areal_fraction_of_convective_showers
USTAR,              m s-1,                        surface_velocity_scale
SPEED,              m s-1,                        surface_wind_speed
EVAP,               kg m-2 s-1,                   evaporation_from_turbulence
QLML,               1,                            surface_specific_humidity
DISPH,              m,                            zero_plane_displacement_height
TAUX,               N m-2,                        eastward_surface_stress
Var_PRECCON,        kg m-2 s-1 kg m-2 s-1,        Variance_of_PRECCON
Var_QSH,            kg kg-1 kg kg-1,              Variance_of_QSH
PRECTOTCORR,        kg m-2 s-1,                   total_precipitation
HLML,               m,                            surface_layer_height
PRECLSC,            kg m-2 s-1,                   nonanvil_large_scale_precipitation
Var_FRCLS,          1 1,                          Variance_of_FRCLS
Var_PRECTOT,        kg m-2 s-1 kg m-2 s-1,        Variance_of_PRECTOT
TAUGWX,             N m-2,                        surface_eastward_gravity_wave_stress
QSH,                kg kg-1,                      effective_surface_specific_humidity
PGENTOT,            kg m-2 s-1,                   Total_column_production_of_precipitation
GHTSKIN,            W m-2,                        Ground_heating_for_skin_temp
PRECSNO,            kg m-2 s-1,                   snowfall
Var_RISFC,          1 1,                          Variance_of_RISFC
Var_CDM,            kg m-2 s-1 kg m-2 s-1,        Variance_of_CDM
TSH,                K,                            effective_surface_skin_temperature
Var_ULML,           m s-1 m s-1,                  Variance_of_ULML
Var_DISPH,          m m,                          Variance_of_DISPH
Var_TSH,            K K,                          Variance_of_TSH
FRCLS,              1,                            areal_fraction_of_nonanvil_large_scale_showers
Var_TAUX,           N m-2 N m-2,                  Variance_of_TAUX
Z0M,                m,                            surface_roughness
Var_PGENTOT,        kg m-2 s-1 kg m-2 s-1,        Variance_of_PGENTOT
Z0H,                m,                            surface_roughness_for_heat
TAUY,               N m-2,                        northward_surface_stress
TSTAR,              K,                            surface_temperature_scale
NIRDF,              W m-2,                        surface_downwelling_nearinfrared_diffuse_flux
CDM,                kg m-2 s-1,                   surface_exchange_coefficient_for_momentum
Var_NIRDR,          W m-2 W m-2,                  Variance_of_NIRDR
PBLH,               m,                            planetary_boundary_layer_height
SPEEDMAX,           m s-1,                        surface_wind_speed
Var_PRECSNO,        kg m-2 s-1 kg m-2 s-1,        Variance_of_PRECSNO
Var_QSTAR,          kg kg-1 kg kg-1,              Variance_of_QSTAR
TAUGWY,             N m-2,                        surface_northward_gravity_wave_stress
Var_TAUGWY,         N m-2 N m-2,                  Variance_of_TAUGWY
Var_FRCAN,          1 1,                          Variance_of_FRCAN
HFLUX,              W m-2,                        sensible_heat_flux_from_turbulence
Var_SPEEDMAX,       m s-1 m s-1,                  Variance_of_SPEEDMAX
FRSEAICE,           1,                            ice_covered_fraction_of_tile
Var_TCZPBL,         m m,                          Variance_of_TCZPBL
PRECCON,            kg m-2 s-1,                   convective_precipitation
RISFC,              1,                            surface_bulk_richardson_number
Var_QLML,           1 1,                          Variance_of_QLML
EFLUX,              W m-2,                        total_latent_energy_flux
Var_BSTAR,          m s-2 m s-2,                  Variance_of_BSTAR
PREVTOT,            kg m-2 s-1,                   Total_column_re-evap/subl_of_precipitation
Var_CDH,            kg m-2 s-1 kg m-2 s-1,        Variance_of_CDH
Var_Z0M,            m m,                          Variance_of_Z0M
VLML,               m s-1,                        surface_northward_wind
CDQ,                kg m-2 s-1,                   surface_exchange_coefficient_for_moisture
Var_CDQ,            kg m-2 s-1 kg m-2 s-1,        Variance_of_CDQ
Var_PBLH,           m m,                          Variance_of_PBLH
Var_TLML,           K K,                          Variance_of_TLML
CDH,                kg m-2 s-1,                   surface_exchange_coefficient_for_heat
Var_SPEED,          m s-1 m s-1,                  Variance_of_SPEED
Var_FRSEAICE,       1 1,                          Variance_of_FRSEAICE
